placekey,poi_cbg,parent_placekey,location_name,brands,safegraph_brand_ids,store_id,top_category,sub_category,naics_code,open_hours,category_tags,latitude,longitude,street_address,city,region,postal_code,iso_country_code,opened_on,closed_on,tracking_closed_since,websites,phone_number,wkt_area_sq_meters
222-222@5wq-s8g-wx5,160319506001,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.431476,-113.862386,350 W 700 S,Burley,ID,83318,US,null,null,2019-07,"[""lds.org""]",+12086781189,1236
222-222@5wq-sg2-hh5,160679704003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.624997,-113.687299,36 N 100 W,Rupert,ID,83350,US,null,null,2019-07,"[""lds.org""]",+12084369534,202
222-222@5wr-2cg-rkz,160539704002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.721781,-114.505665,825 E Avenue B,Jerome,ID,83338,US,null,null,2019-07,"[""lds.org""]",+12083244800,1585
222-222@5wr-7kw-4n5,160830007002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.587936,-114.488513,1470 Park View Dr,Twin Falls,ID,83301,US,null,null,2019-07,[],+12087332033,180
222-222@5wr-7m7-r8v,160830008004,222-223@5wr-7m7-r8v,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.573256,-114.469075,600 Harrison St,Twin Falls,ID,83301,US,null,null,2019-07,[],+12087328097,4386
222-222@5wr-9zv-ffz,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.808583,-112.370641,7860 S 5th Ave,Pocatello,ID,83204,US,null,2019-12,2019-07,"[""lds.org""]",+12082359711,1236
222-222@5wr-9zv-ffz,160050006001,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.808583,-112.370641,7860 S 5th Ave,Pocatello,ID,83204,US,null,2019-12,2019-07,"[""lds.org""]",+12082359711,1236
222-222@5wr-bby-tsq,160119504005,null,The Church Of Jesus Christ Of Latter Day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.174725,-112.347827,1289 Mount Putnam Dr,Blackfoot,ID,83221,US,null,null,2019-07,"[""lds.org""]",+12087850121,2611
222-222@5wr-bmm-7kf,160119504002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.189569,-112.330308,815 Mitchell Ln,Blackfoot,ID,83221,US,null,null,2019-07,"[""lds.org""]",+12087857108,405
222-222@5wr-cjk-9xq,null,null,Gray's Lake LDS Church,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.033783,-111.3778,74 Grays Lake Rd,Wayan,ID,83285,US,null,null,2019-07,"[""lds.org""]",+12085742835,901
222-222@5wr-cjk-9xq,160199701001,null,Gray's Lake LDS Church,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.033783,-111.3778,74 Grays Lake Rd,Wayan,ID,83285,US,null,null,2019-07,"[""lds.org""]",+12085742835,901
222-222@5wr-dd7-tqf,160119501004,zzw-222@5wr-dd8-6tv,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.373926,-112.129635,510 W Fir St,Shelley,ID,83274,US,null,null,2019-07,"[""lds.org""]",+12083573470,389
222-222@5wr-dd7-tqf,null,zzw-222@5wr-dd8-6tv,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.373926,-112.129635,510 W Fir St,Shelley,ID,83274,US,null,null,2019-07,"[""lds.org""]",+12083573470,389
222-222@5wr-dd8-7h5,160119501002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.373855,-112.12287,544 Seminary Ave,Shelley,ID,83274,US,null,null,2019-07,"[""lds.org""]",+12083575102,1207
222-222@5wr-fjt-c3q,160050019002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.581694,-112.18208,12651 S Old Highway 91,Arimo,ID,83214,US,null,null,2019-07,"[""lds.org""]",+12082543504,370
222-222@5wr-gc4-8sq,160119503002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.906803,-112.927605,3182 W 2000 S,Aberdeen,ID,83210,US,null,null,2019-07,"[""lds.org""]",+12083974088,343
222-222@5wr-gc4-8sq,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.906803,-112.927605,3182 W 2000 S,Aberdeen,ID,83210,US,null,null,2019-07,"[""lds.org""]",+12083974088,343
222-222@5wr-ghc-54v,160050015002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.911758,-112.476567,4331 Hawthorne Rd,Pocatello,ID,83202,US,null,null,2019-07,"[""lds.org""]",+12082376181,244
222-222@5wr-ghc-54v,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.911758,-112.476567,4331 Hawthorne Rd,Pocatello,ID,83202,US,null,null,2019-07,"[""lds.org""]",+12082376181,244
222-222@5wr-ghd-kxq,160050011011,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.915369,-112.419094,2300 Butte St,Pocatello,ID,83201,US,null,null,2019-07,"[""lds.org""]",+12082372020,1907
222-222@5wr-gvh-m49,160779602002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.795748,-112.841245,111 Church Pl,American Falls,ID,83211,US,null,null,2019-07,"[""lds.org""]",+12082262951,2414
222-222@5wr-hfr-q75,160299602002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.650915,-111.594153,361 S 3rd E,Soda Springs,ID,83276,US,null,null,2019-07,[],+12085472551,1905
222-222@5ws-frz-pn5,160719601002,null,Church LDS First Ward,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.20193,-112.266875,1250 N 1100 W,Malad City,ID,83252,US,null,null,2019-07,"[""lds.org""]",+12087664385,2386
222-222@5ws-hhd-zpv,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.230853,-111.95055,7389 N 3000 W,Preston,ID,83263,US,null,null,2019-07,"[""lds.org""]",+12088522768,218
222-222@5ws-hhd-zpv,160419701005,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.230853,-111.95055,7389 N 3000 W,Preston,ID,83263,US,null,null,2019-07,"[""lds.org""]",+12088522768,218
222-222@5ws-hht-2rk,160419701004,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.111731,-111.994116,630 N Westside Hwy,Dayton,ID,83232,US,null,null,2019-07,"[""lds.org""]",+12087473393,1790
222-222@5ws-hyw-3qz,160419702002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.094745,-111.874965,55 W 1st S,Preston,ID,83263,US,null,null,2019-07,[],+12088523527,2599
222-223@3x5-4n2-qmk,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
222-223@5w9-hnk-xdv,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.6228,-116.454625,1985 N Black Cat Rd,Meridian,ID,83634,US,null,null,2019-07,"[""lds.org""]",+12082881338,2424
222-223@5wf-zyt-rhq,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
222-223@5wj-fr7-6tv,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,"{""Thu"":[],""Sat"":[],""Tue"":[],""Sun"":[[""8:00"",""17:00""]],""Mon"":[],""Wed"":[],""Fri"":[]}",null,46.480454,-116.252553,320 Michigan Ave,Orofino,ID,83544,US,null,null,2019-07,"[""comeuntochrist.org""]",+12084764357,523
222-223@5wq-s83-gc5,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.558363,-113.792707,295 N Overland Ave,Burley,ID,83318,US,null,null,2019-07,[],+12086787855,2447
223-222@5qn-rzt-xbk,160079501003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.328977,-111.297209,364 Boise St,Montpelier,ID,83254,US,null,null,2019-07,"[""lds.org""]",+12088471867,461
223-222@5w9-hn5-zxq,160010103131,null,The Church Of Jesus Christ Of Latter Day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.581535,-116.404514,2555 S Stoddard Rd,Meridian,ID,83642,US,null,null,2019-07,"[""churchofjesuschrist.org""]",+12088469468,1644
223-222@5w9-j9m-k2k,160010016002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.57379,-116.213619,3100 S Vista Ave Ste 300,Boise,ID,83705,US,null,null,2019-07,"[""lds.org""]",+12083439883,1043
223-222@5w9-j9m-k2k,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.57379,-116.213619,3100 S Vista Ave Ste 300,Boise,ID,83705,US,null,null,2019-07,"[""lds.org""]",+12083439883,1043
223-222@5w9-yhr-nh5,160270215003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.660067,-116.68675,519 S 12th Ave,Caldwell,ID,83605,US,null,null,2019-07,"[""lds.org""]",+12084538331,1057
