tract,median(estimatedMembers),avg(estimatedMembers),min(estimatedMembers),max(estimatedMembers),stddev_samp(estimatedMembers),count(estimatedMembers),team_name
125405,245.0901718123707,363.7652583752358,151.13794797426203,1254.2516076387321,347.53777913790555,9,Marquet
125406,249.16236381545076,251.04508027790368,111.4857945660978,394.36979891461544,154.81094733212464,4,Marquet
125501,687.349525319408,687.349525319408,573.0754637681705,801.6235868706455,161.6079276732179,2,Marquet
125502,337.47294952329554,294.19248217828283,132.25898713948192,369.5650425270583,112.11553898091158,4,Marquet
125503,242.8972677117348,316.6922471353202,209.506721637806,497.67275205641977,157.62039688092688,3,Marquet
125701,217.52079209617324,217.52079209617324,217.52079209617324,217.52079209617324,null,1,Marquet
125801,285.7327871294273,296.887865201585,275.4412143982412,329.48959407708645,28.69901847753862,3,Marquet
125804,249.85241254630697,249.85241254630697,244.27383431125662,255.4309907813573,7.88930099876756,2,Marquet
125805,262.9131992764102,262.9131992764102,262.9131992764102,262.9131992764102,null,1,Marquet
125808,300.18086680198957,300.18086680198957,300.18086680198957,300.18086680198957,null,1,Marquet
125905,205.44348817135668,398.9592543356788,78.20251580239062,1308.5381386089325,433.78514728649463,7,Marquet
125906,337.2659194112473,368.4102847619723,255.4309907813573,562.7594423419532,122.90668056909053,5,Marquet
125907,106.77818441852173,106.77818441852173,106.77818441852173,106.77818441852173,null,1,Marquet
125908,247.45042165991435,280.83121661453566,223.86759569382124,371.1756324898715,79.12409576120587,3,Marquet
126001,705.9303435241627,705.9303435241627,157.60907940959325,1254.2516076387321,775.443368248384,2,Marquet
126002,251.75445574900442,303.9675106408151,214.82709034714756,497.53404071810405,131.27663618577054,4,Marquet
126101,272.7619371538076,272.7619371538076,253.49030943420527,292.0335648734099,27.254197290066866,2,Marquet
126104,621.8502049076151,1074.8717819979527,275.4412143982412,2728.394547339626,1064.4178556430688,7,Marquet
126105,300.18086680198957,262.53910307849435,1.6039915333236667,481.92964803426247,159.53450723016593,7,Marquet
126202,248.96590287510102,232.82744370143917,8.458720802153374,441.05770742706306,216.7505667941832,3,Marquet
126203,1779.7281359047572,1779.7281359047572,405.17249326746276,3154.2837785420516,1943.915232054127,2,Marquet
126204,255.4309907813573,342.9177507712363,244.27383431125662,529.0484272210947,161.29039671315218,3,Marquet
126303,257.25415073943833,281.8094963024637,122.92166158678842,489.8080221441896,174.33821548690332,4,Marquet
126304,530.7388522966429,1185.3045158353632,340.2512069742438,2684.923488235203,1302.1959078960745,3,Marquet
126305,245.93253896823956,245.93253896823956,245.93253896823956,245.93253896823956,null,1,Marquet
126306,257.3354704845005,307.40069963733055,232.01231623643363,515.5666595950943,118.873891852177,5,Marquet
126402,253.5102700176802,256.3545369659267,237.9345629086028,277.6187779714972,19.99441477373568,3,Marquet
126404,242.8972677117348,243.48496067679372,1.6039915333236667,454.9190162542651,162.10110788322845,5,Marquet
126405,272.1780123221054,458.4273428417299,171.3609133516512,1526.4296199608373,480.94296123646,7,Marquet
126500,291.3708222567743,404.09438690515697,232.01231623643363,801.6235868706455,266.8203176078163,4,Marquet
126600,287.6002411599251,287.6002411599251,237.9345629086028,337.2659194112473,70.23787576747839,2,Marquet
126700,295.7498981239023,295.7498981239023,288.2204520782944,303.2793441695102,10.64824471485516,2,Marquet
126801,216.91792106932846,216.91792106932846,216.91792106932846,216.91792106932846,null,1,Marquet
126802,1349.9013388969042,1349.9013388969042,224.38591119641174,2475.416766597397,1591.7191825141913,2,Marquet
126901,162.56921496019896,162.56921496019896,37.22548978050794,287.91294013989,177.26279610748506,2,Marquet
126902,228.36911395750099,222.27031665919586,106.77818441852173,337.2659194112473,101.29097579946347,5,Marquet
127002,244.27383431125662,244.27383431125662,244.27383431125662,244.27383431125662,null,1,Marquet
127003,252.53425500251583,243.43447411066478,180.44893435933304,288.2204520782944,45.23484668867204,4,Marquet
127004,1500.1652317528901,1500.1652317528901,1500.1652317528901,1500.1652317528901,null,1,Marquet
