fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
20127,121.9299774,1,4,959,5918,5918,2,2,100.0,7,115,0,1,0,6,55,56,4,0,5741
20129,222.7171492,1,4,960,3214,2776,3,2,93.4198,7,38,0,1,0,6,7,29,2,0,3143
20131,127.9401634,1,4,961,10172,10165,3,3,96.7388,13,92,0,1,0,12,23,59,10,0,10161
20133,237.3706634,1,4,962,16533,16533,3,3,95.9389,39,611,0,8,5,26,270,325,16,6,16430
20135,195.2489424,1,4,963,3136,3136,1,1,100.0,6,28,0,1,0,5,5,18,5,0,3073
20137,88.93632159,1,4,964,5664,5664,2,2,100.0,5,72,0,2,0,3,16,53,3,0,5622
20139,247.8007682,1,4,965,16389,15612,9,7,89.2049,40,277,0,2,0,38,88,177,13,4,16142
20141,130.9586171,1,4,966,3867,3867,2,2,62.7877,5,93,0,1,0,4,23,64,5,0,3818
20143,82.75405495,1,4,967,6150,6150,3,3,73.8537,5,105,0,1,1,2,22,77,7,1,6042
20145,315.5931717,1,4,968,7047,7047,2,2,100.0,22,148,0,5,0,17,48,94,6,1,6971
20147,180.5054152,1,4,969,5583,5583,1,1,100.0,10,25,0,0,0,10,7,17,1,0,5540
20149,242.3868494,1,4,970,22032,21380,6,5,99.9474,55,348,0,5,1,49,88,241,19,15,22691
20151,364.4462442,1,4,971,9725,9725,3,3,100.0,36,288,0,3,1,32,64,205,19,2,9878
20153,154.4998069,1,4,972,2525,2525,2,2,100.0,4,34,0,1,1,2,8,22,4,0,2589
20155,464.2467674,1,4,973,64937,64937,6,6,99.0334,298,2938,2,28,26,242,637,2141,159,41,64190
20157,103.7344398,1,4,974,4932,4932,2,2,96.6663,5,54,0,0,0,5,11,36,6,0,4820
20159,109.879133,1,4,975,10127,10127,7,7,82.2693,11,104,0,1,1,9,45,55,4,3,10011
20161,240.0721543,1,4,976,73370,73370,2,2,100.0,181,1505,1,28,24,128,249,1212,44,15,75394
20163,77.07129094,1,4,977,5208,5208,3,3,92.6571,4,38,1,1,0,2,10,21,6,0,5190
20165,219.7112367,1,4,978,3255,3255,2,2,89.8464,7,56,0,1,0,5,26,28,3,0,3186
20167,331.7467186,1,4,979,6992,6992,2,2,100.0,23,140,0,1,0,22,40,87,13,1,6933
20169,339.0742734,1,4,980,56129,56129,3,3,100.0,189,2512,2,25,26,136,493,1900,119,25,55740
20171,297.9145978,1,4,981,4935,4935,2,2,100.0,15,81,0,3,0,12,16,60,5,0,5035
20173,615.5337693,1,4,982,504423,503636,22,23,99.504,3111,23678,24,273,513,2301,4575,17136,1967,160,505415
20175,333.4758444,1,4,983,23447,23447,2,2,100.0,78,607,0,13,7,58,163,423,21,0,23390
20177,488.1703955,1,4,984,179855,178402,17,15,99.8842,873,7952,19,46,244,564,1585,5706,662,68,178831
20179,235.0176263,1,4,985,2565,2565,2,2,67.1702,6,26,0,4,0,1,12,14,0,0,2553
20181,228.9452167,1,4,986,6085,6085,2,2,81.327,14,117,0,1,1,12,26,83,8,4,6115
20183,26.98327037,1,4,987,3854,1664,2,1,100.0,1,6,0,0,1,0,2,4,0,0,3706
20185,183.5283322,1,4,988,4393,4393,4,4,93.8083,8,69,0,1,0,7,27,37,5,1,4359
20187,45.57885141,1,4,989,2261,2261,1,1,75.0,1,3,0,0,0,1,1,1,0,0,2194
20189,34.38789546,1,4,990,5642,3849,2,1,100.0,2,13,0,0,0,2,1,11,1,0,5816
20191,254.33428,1,4,991,22927,23412,7,7,95.886,60,649,0,8,3,49,172,453,24,3,23591
20193,226.4720684,1,4,992,7976,8018,2,3,99.8254,18,175,0,6,2,10,34,128,13,0,7948
